RazaoSocial;UF;TotalDespesas;MediaTrimestral;DesvioPadrao
BRADESCO SAÚDE S.A.;RJ;322971284920.30;1368522393.73;3757094207.75
SUL AMERICA COMPANHIA DE SEGURO SAÚDE;RJ;255726401082.27;696802182.79;2079710538.48
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.;SP;196991269322.51;511665634.60;1781637388.52
NOTRE DAME INTERMÉDICA SAÚDE S.A.;SP;90007168168.94;303054438.28;904014299.39
HAPVIDA ASSISTENCIA MEDICA S.A.;CE;88242948930.23;199644680.84;756318991.94
UNIMED NACIONAL - COOPERATIVA CENTRAL;SP;68667876100.91;191809709.78;563891182.79
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL;DF;68076762885.30;412586441.73;1122805114.35
PORTO SEGURO - SEGURO SAÚDE S/A;SP;52438606683.92;241652565.36;647154995.42
GEAP AUTOGESTÃO EM SAÚDE;DF;49508874263.75;250044819.51;594567467.70
UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO;MG;49310887312.97;107197581.12;400407433.98
PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;SP;45279259308.76;345643200.83;836635665.76
UNIMED SEGUROS SAÚDE S/A;SP;44787029682.17;170292888.53;513535878.31
UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS;RJ;43900387878.23;327614834.91;641697115.65
UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO ;PR;43199618804.05;254115404.73;1874854668.06
UNIMED PORTO ALEGRE - COOPERATIVA MÉDICA LTDA.;RS;32668686237.02;84853730.49;298756697.15
UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS;PR;29647894428.49;79913462.07;265851420.91
UNIMED CAMPINAS - COOPERATIVA DE TRABALHO MÉDICO;SP;26330548887.79;66659617.44;257079616.34
UNIMED GOIANIA COOPERATIVA DE TRABALHO MÉDICO;GO;22357715423.51;99367624.10;271795177.21
